ClaimTypeCode,71,RIC O local carrier non-DMEPOS claim,"(N'ClaimTypeCode', N'71', N'RIC O local carrier non-DMEPOS claim'),"
ClaimTypeCode,72,RIC O local carrier DMEPOS claim,"(N'ClaimTypeCode', N'72', N'RIC O local carrier DMEPOS claim'),"
ClaimTypeCode,81,RIC M DMERC non-DMEPOS claim,"(N'ClaimTypeCode', N'81', N'RIC M DMERC non-DMEPOS claim'),"
ClaimTypeCode,82,RIC M DMERC DMEPOS claim,"(N'ClaimTypeCode', N'82', N'RIC M DMERC DMEPOS claim'),"
ProviderSpecialtyCode,01,Physician/General Practice,"(N'ProviderSpecialtyCode', N'01', N'Physician/General Practice'),"
ProviderSpecialtyCode,02,Physician/General Surgery,"(N'ProviderSpecialtyCode', N'02', N'Physician/General Surgery'),"
ProviderSpecialtyCode,03,Physician/Allergy/ Immunology,"(N'ProviderSpecialtyCode', N'03', N'Physician/Allergy/ Immunology'),"
ProviderSpecialtyCode,04,Physician/Otolaryngology,"(N'ProviderSpecialtyCode', N'04', N'Physician/Otolaryngology'),"
ProviderSpecialtyCode,05,Physician/Anesthesiology,"(N'ProviderSpecialtyCode', N'05', N'Physician/Anesthesiology'),"
ProviderSpecialtyCode,06,Physician/Cardiovascular Disease (Cardiology),"(N'ProviderSpecialtyCode', N'06', N'Physician/Cardiovascular Disease (Cardiology)'),"
ProviderSpecialtyCode,07,Physician/Dermatology,"(N'ProviderSpecialtyCode', N'07', N'Physician/Dermatology'),"
ProviderSpecialtyCode,08,Physician/Family Practice,"(N'ProviderSpecialtyCode', N'08', N'Physician/Family Practice'),"
ProviderSpecialtyCode,09,Physician/Interventional Pain Management,"(N'ProviderSpecialtyCode', N'09', N'Physician/Interventional Pain Management'),"
ProviderSpecialtyCode,10,Physician/Gastroenterology,"(N'ProviderSpecialtyCode', N'10', N'Physician/Gastroenterology'),"
ProviderSpecialtyCode,11,Physician/Internal Medicine,"(N'ProviderSpecialtyCode', N'11', N'Physician/Internal Medicine'),"
ProviderSpecialtyCode,12,Physician/Osteopathic Manipulative Treatment,"(N'ProviderSpecialtyCode', N'12', N'Physician/Osteopathic Manipulative Treatment'),"
ProviderSpecialtyCode,13,Physician/Neurology,"(N'ProviderSpecialtyCode', N'13', N'Physician/Neurology'),"
ProviderSpecialtyCode,14,Physician/Neurosurgery,"(N'ProviderSpecialtyCode', N'14', N'Physician/Neurosurgery'),"
ProviderSpecialtyCode,16,Physician/Obstetrics & Gynecology,"(N'ProviderSpecialtyCode', N'16', N'Physician/Obstetrics & Gynecology'),"
