name,nick1,nick2,nick3,nick4,nick5,,,,,,
,,,,,,,,,,,
Aaron, Aron,Ron, Ronnie, Ronny,,,,,,,
,,,,,,,,,,,
Abel,Abe, Abie,,,,,,,,,
,,,,,,,,,,,
Abner,Ab, Abbie,,,,,,,,,
,,,,,,,,,,,
Abraham,Abe, Abie, Bram,,,,,,,,
,,,,,,,,,,,
Adam,Ad, Addie, Addy, Ade,,,,,,,
,,,,,,,,,,,
Adrian,Ade,,,,,,,,,,
,,,,,,,,,,,
Alan, Allan, Allen,Al,,,,,,,,
,,,,,,,,,,,
Albert,Al, Bert, Bertie,,,,,,,,
,,,,,,,,,,,
Alexander,Al, Alex, Alec, Aleck, Lex, Sandy, Sander,,,,
,,,,,,,,,,,
Alfred,Al, Alf, Alfie, Fred, Freddie, Freddy,,,,,
,,,,,,,,,,,
Algernon,Algie, Algy, Alger,,,,,,,,
,,,,,,,,,,,
Alister, Allister, Alistair, Alastair, Alaster,Al,,,,,,
,,,,,,,,,,,
Alonso, Alonzo,Al, Lon, Lonnie, Lonny,,,,,,
,,,,,,,,,,,
Alvin, Alwin, Alwyn,Al, Vin, Vinny, Win,,,,,
,,,,,,,,,,,
Andrew,Andy, Drew,,,,,,,,,
,,,,,,,,,,,
Ambrose,Ambie, Brose,,,,,,,,,
,,,,,,,,,,,
Amos,,,,,,,,,,,
,,,,,,,,,,,
Andre, Andres, Andreas,Andy,,,,,,,,
,,,,,,,,,,,
Anselm, Ansel,,,,,,,,,,
,,,,,,,,,,,
Anthony, Antony, Anton,Tony,,,,,,,,
,,,,,,,,,,,
Archibald,Arch, Archie, Baldie,,,,,,,,
,,,,,,,,,,,
Arnold,Arnie,,,,,,,,,,
,,,,,,,,,,,
Arthur,Art, Artie,,,,,,,,,
,,,,,,,,,,,
Augustus, August, Augustine,Augie, Gus, Gussy, Gust, Gustus,,,,
,,,,,,,,,,,
Austin, Austen,,,,,,,,,,
,,,,,,,,,,,
Avery,Avy,,,,,,,,,,
,,,,,,,,,,,
Baldwin,Baldie, Win,,,,,,,,,
,,,,,,,,,,,
Barrett,Barry, Barrie,,,,,,,,,
,,,,,,,,,,,
Bartholomew,Bart, Barty, Bartlett, Bartley, Bat, Batty,,,,,
,,,,,,,,,,,
Basil,Baz, Basie,,,,,,,,,
,,,,,,,,,,,
Benedict,Ben, Bennie, Benny,,,,,,,,
,,,,,,,,,,,
Benjamin,Ben, Bennie, Benny, Benjy, Benjie,,,,,,
,,,,,,,,,,,
Bennet, Bennett,Ben, Bennie, Benny,,,,,,,
,,,,,,,,,,,
Bernard, Barnard,Bernie, Berney, Barney, Barnie,,,,,,
,,,,,,,,,,,
Bert (see Albert, Bertram, Herbert, Hubert, Robert),,,,,,,
,,,,,,,,,,,
Blake,,,,,,,,,,,
,,,,,,,,,,,
Bradford,Brad, Ford,,,,,,,,,
,,,,,,,,,,,
Bradley,Brad,,,,,,,,,,
,,,,,,,,,,,
Brady,,,,,,,,,,,
,,,,,,,,,,,
Brandon, Branden,Brandy,,,,,,,,,
,,,,,,,,,,,
Brenton,Brent,,,,,,,,,,
,,,,,,,,,,,
Bret, Brett,,,,,,,,,,
,,,,,,,,,,,
Brian, Bryan, Bryant,,,,,,,,,
,,,,,,,,,,,
Broderick,Brodie, Brody, Brady, Rick, Ricky,,,,,,
,,,,,,,,,,,
Bruce,,,,,,,,,,,
,,,,,,,,,,,
Bruno,,,,,,,,,,,
,,,,,,,,,,,
Burton,Burt,,,,,,,,,,
,,,,,,,,,,,
Byron,Ron, Ronnie, Ronny,,,,,,,,
,,,,,,,,,,,
Caleb,Cal,,,,,,,,,,
,,,,,,,,,,,
Calvin,Cal, Vin, Vinny,,,,,,,,
,,,,,,,,,,,
Cameron,Cam, Ron, Ronny,,,,,,,,
,,,,,,,,,,,
Carl, Karl, Carlos
Carey, Cary, Carry,,,,,,,,,
,,,,,,,,,,,
Casey, Kasey,,,,,,,,,,
,,,,,,,,,,,
Caspar, Casper,Cas, Cass,,,,,,,,
,,,,,,,,,,,
Cassius,Cas, Cass,,,,,,,,,
,,,,,,,,,,,
Cecil,Cis,,,,,,,,,,
,,,,,,,,,,,
Cedric,Ced, Rick, Ricky,,,,,,,,
,,,,,,,,,,,
Charles,Charlie, Charley, Chuck, Chas,,,,,,,
,,,,,,,,,,,
Chester,Chet,,,,,,,,,,
,,,,,,,,,,,
Christopher, Kristopher, Kristofer,Chris, Kris, Cris, Christy, Kit, Kester, Kristof, Toph, Topher
,,,,,,,,,,,
Christian,Chris, Christy, Kit,,,,,,,,
,,,,,,,,,,,
Clarence,Clare, Clair,,,,,,,,,
,,,,,,,,,,,
Clark,,,,,,,,,,,
,,,,,,,,,,,
Claude, Claud,,,,,,,,,,
,,,,,,,,,,,
Clayton,Clay,,,,,,,,,,
,,,,,,,,,,,
Clement,Clem,,,,,,,,,,
,,,,,,,,,,,
Clifford,Cliff, Ford,,,,,,,,,
,,,,,,,,,,,
Clinton,Clint,,,,,,,,,,
,,,,,,,,,,,
Clyde,,,,,,,,,,,
,,,,,,,,,,,
Cody,,,,,,,,,,,
,,,,,,,,,,,
Colin, Collin, Collen,Cole, Col,,,,,,,
,,,,,,,,,,,
Conrad,Con, Connie, Conny,,,,,,,,
,,,,,,,,,,,
Cornelius,Connie, Conny, Corny, Corney, Cory,,,,,,
,,,,,,,,,,,
Cory, Corey, Kory,,,,,,,,,
,,,,,,,,,,,
Craig,,,,,,,,,,,
,,,,,,,,,,,
Curtis, Kurtis,Curt, Kurt,,,,,,,,
,,,,,,,,,,,
Cyril,Cy,,,,,,,,,,
,,,,,,,,,,,
Cyrus,Cy,,,,,,,,,,
,,,,,,,,,,,
Dale,,,,,,,,,,,
,,,,,,,,,,,
Daniel,Dan, Danny,,,,,,,,,
,,,,,,,,,,,
Darrell, Darrel, Darryl, Daryl,Darry,,,,,,,
,,,,,,,,,,,
David,Dave, Davie, Davy,,,,,,,,
,,,,,,,,,,,
Dean, Deane,,,,,,,,,,
,,,,,,,,,,,
Dennis, Denis,Den, Denny,,,,,,,,
,,,,,,,,,,,
Derek, Derrick,Derry, Rick, Ricky,,,,,,,
,,,,,,,,,,,
Dexter,Dex,,,,,,,,,,
,,,,,,,,,,,
Dominic, Dominick, Dominique,Dom, Nick,,,,,,,
,,,,,,,,,,,
Donald,Don, Donnie, Donny,,,,,,,,
