ElementName,DataDescription,StartPosition,EndPosition,DataLength,Format,Comments,ReceivedClaimFactColumnName,ReceivedClaimProcedureFactColumnName,ReceivedClaimMedicationFactColumnName
CUR_CLM_UNIQ_ID,Current Unique Claim Identifier,1,13,13,9(13),A unique identification number assigned to the claim.,Id,"Id, ReceivedClaimId",
CLM_LINE_NUM,Claim Line Number,14,23,10,9(10),A sequential number that identifies a specific claim line within a given claim.,,Id,
BENE_HIC_NUM,Beneficiary HIC Number,24,34,11,X(11),"A beneficiary identifier. The HICN that appears in this field is the beneficiary’s current HICN, not necessarily the HICN that was used to process the claim",PatientId,PatientId,
CLM_TYPE_CD,Claim Type Code,35,36,2,9(02),"Signifies the type of claim being submitted through the Medicare or Medicaid programs. Claim type codes are:
71=RIC O local carrier non-DMEPOS claim
72=RIC O local carrier DMEPOS claim",ReceivedClaimType,,
,,,,,,,,,
,,,,,,,,,
CLM_FROM_DT,Claim From Date,37,46,10,YYYY-MM-DD,The first day on the billing statement that covers services rendered to the beneficiary. Also known as the “Statement Covers From Date.”,StartDate,,
CLM_THRU_DT,Claim Thru Date,47,56,10,YYYY-MM-DD, The last day on the billing statement that covers services rendered to the beneficiary. Also known as the “Statement Covers Through Date.”,EndDate,,
RNDRG_PRVDR_TYPE_CD,Rendering Provider Type Code,57,59,3,X(03),"Indicates the type of provider who provided the service associated with this line item on the claim. Provider Type Codes are: 
0=Clinics, groups, associations, partnerships, or other entities
1=Physicians or suppliers reporting as solo practitioners
2=Suppliers (other than sole proprietorship)
3=Institutional provider
4=Independent laboratories
5=Clinics (multiple specialties)
6=Groups (single specialty)
7=Other entities",,,
RNDRG_PRVDR_FIPS_ST_CD,Rendering Provider FIPS State Code,60,61,2,X(02),Identifies the state that the provider providing the service is located in.,,,
CLM_PRVDR_SPCLTY_CD,Claim-Line Provider Specialty Code,62,63,2,X(02),Indicates the CMS specialty code associated with the provider of services. CMS used this number to price the service on the line-item. Find Provider Specialty Codes here: http://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/MedicareProviderSupEnroll/downloads/JSMTDL-08515MedicarProviderTypetoHCPTaxonomy.pdf,,RenderingProviderSpecialty,
CLM_FED_TYPE_SRVC_CD,Claim Federal Type Service Code,64,64,1,X(01),"Indicates the type of service (e.g., consultation, surgery) provided to the beneficiary. Types of Service Codes are defined in the Medicare Carrier Manual. Find Types of Service Codes here: http://www.resdac.org/sites/resdac.org/files/CMS%20Type%20of%20Service%20Table.txt",,ServiceType,
CLM_POS_CD,Claim Place of Service Code,65,66,2,X(02),"Indicates the place where the indicated service was provided (e.g., ambulance, school). Places of service are defined in the Medicare Carrier Manual. Find Place of Service Codes here: http://www.resdac.org/sites/resdac.org/files/Place%20of%20Service%20Table.txt",,PlaceOfServiceType,
CLM_LINE_FROM_DT,Line Claim From Date,67,76,10,YYYY-MM-DD,The date the service associated with the line item began.,,PerformedStartDate,
CLM_LINE_THRU_DT,Line Claim Thru Date,77,86,10,YYYY-MM-DD,The date the service associated with the line item ended.,,PerformedEndDate,
CLM_LINE_HCPCS_CD,HCPCS Code,87,91,5,X(05),"The HCPCS code representing the procedure, supply, product, and/or service provided to the beneficiary.",,"ProcedureCodeType, ProcedureCode, ProcedureId",
CLM_LINE_CVRD_PD_AMT,Claim Line Covered Paid Amount,92,106,15,-9(11).99,The amount of payment made by Medicare on behalf of the beneficiary for the indicated service after deductible and coinsurance amounts have been paid.,TotalInsuranceAmount,InsuranceAmount,
